greeter	screener	dispenser	medic	resources	throughput	time
7	24	57	3	91	4230.66666667	35.3746997013
8	24	58	1	91	4460.66666667	42.1827559109
7	26	52	7	92	3960.66666667	24.2310125318
9	24	52	7	92	3992.66666667	25.9362638211
7	24	57	4	92	4178.0	33.1968372934
8	24	57	3	92	4324.0	33.3321440378
8	24	58	2	92	4375.0	37.0772973903
5	24	58	6	93	3060.0	22.8088889828
8	26	52	7	93	4022.66666667	24.0497500447
8	24	57	4	93	4254.0	29.2553312171
8	24	60	1	93	4603.33333333	40.5307352349
8	24	57	5	94	4276.33333333	26.5190677912
8	26	57	3	94	4352.66666667	32.8615254084
9	24	60	1	94	4556.33333333	37.4167622563
8	24	57	6	95	4224.66666667	22.0663631215
